Author: Spencer Rodgers, Date 1/8/2021, Score = 4.67339, Intercept Time = 4.25
Missile X, Missile Y, Target X, Target Y,AccelM, Separation, Time 
0,0,894.693,1788.72,0,2000,0
3.0688,6.13531,897.79,1788.72,-19.3888,2000,0.01
6.15458,12.2621,900.887,1788.72,-19.3485,1994.53,0.02
9.25728,18.3803,903.984,1788.72,-19.3082,1989.06,0.03
12.3768,24.49,907.081,1788.72,-19.2678,1983.59,0.04
15.5132,30.591,910.178,1788.72,-19.2274,1978.13,0.05
18.6663,36.6835,913.275,1788.72,-19.1869,1972.68,0.06
21.8361,42.7672,916.372,1788.72,-19.1465,1967.22,0.07
25.0226,48.8422,919.469,1788.72,-19.1059,1961.77,0.08
28.2256,54.9086,922.566,1788.72,-19.0654,1956.33,0.09
31.4451,60.9662,925.663,1788.72,-19.0248,1950.88,0.1
34.6811,67.015,928.76,1788.72,-18.9842,1945.45,0.11
37.9334,73.055,931.857,1788.72,-18.9436,1940.01,0.12
41.2021,79.0862,934.954,1788.72,-18.9029,1934.58,0.13
44.4871,85.1085,938.051,1788.72,-18.8623,1929.16,0.14
47.7883,91.122,941.148,1788.72,-18.8216,1923.73,0.15
51.1056,97.1266,944.245,1788.72,-18.7809,1918.32,0.16
54.439,103.122,947.342,1788.72,-18.7401,1912.9,0.17
57.7885,109.109,950.439,1788.72,-18.6993,1907.49,0.18
61.154,115.087,953.536,1788.72,-18.6586,1902.08,0.19
64.5354,121.055,956.633,1788.72,-18.6178,1896.68,0.2
67.9326,127.015,959.73,1788.72,-18.5769,1891.28,0.21
71.3456,132.966,962.827,1788.72,-18.5361,1885.89,0.22
74.7744,138.907,965.924,1788.72,-18.4953,1880.5,0.23
78.2189,144.84,969.021,1788.72,-18.4544,1875.11,0.24
81.679,150.763,972.118,1788.72,-18.4135,1869.73,0.25
85.1547,156.678,975.215,1788.72,-18.3726,1864.35,0.26
88.6459,162.583,978.312,1788.72,-18.3317,1858.97,0.27
92.1525,168.479,981.409,1788.72,-18.2908,1853.6,0.28
95.6746,174.366,984.506,1788.72,-18.2499,1848.23,0.29
99.2119,180.243,987.603,1788.72,-18.209,1842.87,0.3
102.765,186.112,990.7,1788.72,-18.168,1837.51,0.31
