Author: Spencer Rodgers, Date 1/8/2021
Missile X, Missile Y, Target X, Target Y,AccelM, Separation, Time 
0,0,894.693,1788.72,0,0,0
2.68408,5.36616,897.693,1788.72,-10.7522,2000,0.01
5.37758,10.7276,900.693,1788.72,-10.7516,1995.34,0.02
8.08049,16.0843,903.693,1788.72,-10.751,1990.69,0.03
10.7928,21.4363,906.693,1788.72,-10.7503,1986.04,0.04
13.5145,26.7834,909.693,1788.72,-10.7496,1981.4,0.05
16.2456,32.1258,912.693,1788.72,-10.7488,1976.76,0.06
18.9861,37.4634,915.693,1788.72,-10.7479,1972.12,0.07
21.7359,42.7962,918.693,1788.72,-10.747,1967.48,0.08
24.4951,48.1241,921.693,1788.72,-10.7461,1962.85,0.09
27.2636,53.4472,924.693,1788.72,-10.7451,1958.22,0.1
30.0415,58.7654,927.693,1788.72,-10.744,1953.6,0.11
32.8287,64.0788,930.693,1788.72,-10.7429,1948.98,0.12
35.6252,69.3872,933.693,1788.72,-10.7417,1944.36,0.13
38.431,74.6907,936.693,1788.72,-10.7404,1939.75,0.14
41.2462,79.9893,939.693,1788.72,-10.7391,1935.14,0.15
44.0706,85.2829,942.693,1788.72,-10.7378,1930.54,0.16
46.9043,90.5716,945.693,1788.72,-10.7364,1925.93,0.17
49.7473,95.8553,948.693,1788.72,-10.7349,1921.34,0.18
52.5995,101.134,951.693,1788.72,-10.7334,1916.74,0.19
55.461,106.408,954.693,1788.72,-10.7318,1912.15,0.2
58.3317,111.676,957.693,1788.72,-10.7301,1907.56,0.21
61.2116,116.94,960.693,1788.72,-10.7284,1902.98,0.22
64.1008,122.199,963.693,1788.72,-10.7267,1898.4,0.23
66.9992,127.452,966.693,1788.72,-10.7249,1893.82,0.24
69.9067,132.701,969.693,1788.72,-10.723,1889.25,0.25
72.8235,137.944,972.693,1788.72,-10.7211,1884.68,0.26
75.7494,143.182,975.693,1788.72,-10.7191,1880.11,0.27
78.6845,148.415,978.693,1788.72,-10.717,1875.55,0.28
81.6288,153.643,981.693,1788.72,-10.7149,1870.99,0.29
84.5822,158.866,984.693,1788.72,-10.7128,1866.44,0.3
87.5447,164.084,987.693,1788.72,-10.7106,1861.89,0.31
90.5164,169.296,990.693,1788.72,-10.7083,1857.34,0.32
93.4972,174.503,993.693,1788.72,-10.706,1852.8,0.33
96.4871,179.705,996.693,1788.72,-10.7036,1848.26,0.34
99.486,184.902,999.693,1788.72,-10.7011,1843.72,0.35
102.494,190.093,1002.69,1788.72,-10.6986,1839.19,0.36
105.511,195.28,1005.69,1788.72,-10.6961,1834.66,0.37
108.537,200.461,1008.69,1788.72,-10.6934,1830.13,0.38
111.573,205.636,1011.69,1788.72,-10.6908,1825.61,0.39
114.617,210.807,1014.69,1788.72,-10.688,1821.09,0.4
117.67,215.972,1017.69,1788.72,-10.6852,1816.58,0.41
120.732,221.131,1020.69,1788.72,-10.6824,1812.07,0.42
123.804,226.286,1023.69,1788.72,-10.6795,1807.56,0.43
126.884,231.435,1026.69,1788.72,-10.6765,1803.05,0.44
129.973,236.578,1029.69,1788.72,-10.6735,1798.55,0.45
133.071,241.716,1032.69,1788.72,-10.6704,1794.06,0.46
136.178,246.849,1035.69,1788.72,-10.6673,1789.57,0.47
