Author: Spencer Rodgers, Date 1/6/2021, Score = 0.596295, Intercept Time = 2.61
Missile X, Missile Y, Target X, Target Y, AccelM, Separation, Time 
0,0,-120.264,338.256,0,359,0
1.17934,3.53865,-118.158,338.924,-0.0232048,355.984,0.01
2.35521,7.07846,-116.056,339.606,-0.0416395,352.981,0.02
3.52771,10.6194,-113.958,340.303,-0.0552901,349.992,0.03
4.69694,14.1614,-111.866,341.015,-0.0641448,347.016,0.04
5.863,17.7044,-109.779,341.742,-0.0681939,344.054,0.05
7.02596,21.2485,-107.697,342.483,-0.0674306,341.106,0.06
8.18592,24.7936,-105.621,343.239,-0.0618501,338.171,0.07
9.34294,28.3396,-103.549,344.01,-0.0514504,335.25,0.08
10.4971,31.8865,-101.484,344.796,-0.0362319,332.343,0.09
11.6485,35.4344,-99.4238,345.596,-0.0161976,329.45,0.1
12.7971,38.9831,-97.3696,346.411,0.00864684,326.571,0.11
13.943,42.5327,-95.3211,347.241,0.0382931,323.706,0.12
15.0863,46.0832,-93.2786,348.085,0.0727303,320.855,0.13
16.227,49.6345,-91.2422,348.943,0.111945,318.018,0.14
17.3651,53.1866,-89.2118,349.816,0.15592,315.195,0.15
18.5008,56.7395,-87.1878,350.703,0.204636,312.386,0.16
19.6339,60.2932,-85.17,351.605,0.258071,309.591,0.17
20.7645,63.8478,-83.1588,352.521,0.316201,306.81,0.18
21.8927,67.4031,-81.154,353.451,0.378998,304.043,0.19
23.0184,70.9591,-79.156,354.395,0.44643,301.29,0.2
24.1417,74.516,-77.1646,355.354,0.518465,298.551,0.21
25.2626,78.0736,-75.1801,356.326,0.595065,295.827,0.22
26.381,81.632,-73.2026,357.313,0.676191,293.116,0.23
27.4969,85.1911,-71.2321,358.314,0.761801,290.419,0.24
28.6104,88.751,-69.2688,359.328,0.851849,287.737,0.25
29.7214,92.3117,-67.3127,360.357,0.946287,285.068,0.26
30.8299,95.8732,-65.364,361.399,1.04506,282.413,0.27
31.9359,99.4355,-63.4227,362.455,1.14812,279.773,0.28
33.0393,102.999,-61.4889,363.525,1.25541,277.146,0.29
34.1402,106.562,-59.5628,364.609,1.36687,274.533,0.3
35.2383,110.127,-57.6444,365.706,1.48242,271.934,0.31
36.3338,113.693,-55.7339,366.817,1.60202,269.348,0.32
37.4266,117.259,-53.8313,367.941,1.72558,266.776,0.33
38.5166,120.826,-51.9367,369.079,1.85304,264.218,0.34
39.6037,124.394,-50.0502,370.23,1.98432,261.674,0.35
40.688,127.963,-48.172,371.395,2.11934,259.143,0.36
41.7693,131.533,-46.3021,372.573,2.25803,256.626,0.37
42.8475,135.104,-44.4405,373.764,2.4003,254.122,0.38
43.9227,138.675,-42.5875,374.968,2.54606,251.631,0.39
44.9947,142.248,-40.743,376.186,2.69523,249.154,0.4
46.0634,145.822,-38.9073,377.416,2.84772,246.69,0.41
47.1288,149.396,-37.0803,378.66,3.00342,244.239,0.42
48.1907,152.972,-35.2622,379.916,3.16225,241.802,0.43
49.2492,156.549,-33.453,381.185,3.32411,239.377,0.44
50.3041,160.126,-31.6529,382.467,3.48889,236.965,0.45
51.3552,163.705,-29.8619,383.762,3.6565,234.566,0.46
52.4026,167.285,-28.0802,385.07,3.82682,232.18,0.47
53.4461,170.866,-26.3078,386.39,3.99976,229.807,0.48
54.4856,174.448,-24.5448,387.722,4.17519,227.446,0.49
55.521,178.032,-22.7913,389.068,4.35302,225.098,0.5
56.5522,181.616,-21.0474,390.425,4.53312,222.762,0.51
57.5791,185.202,-19.3131,391.795,4.71539,220.438,0.52
58.6016,188.789,-17.5887,393.177,4.8997,218.127,0.53
59.6196,192.378,-15.874,394.571,5.08593,215.828,0.54
60.6329,195.967,-14.1693,395.978,5.27398,213.54,0.55
61.6414,199.558,-12.4747,397.396,5.46372,211.265,0.56
62.6451,203.151,-10.7901,398.827,5.65502,209.002,0.57
63.6438,206.745,-9.11574,400.269,5.84777,206.75,0.58
64.6373,210.34,-7.45164,401.724,6.04184,204.51,0.59
65.6257,213.937,-5.79791,403.19,6.2371,202.282,0.6
66.6086,217.535,-4.15462,404.667,6.43344,200.065,0.61
67.5861,221.134,-2.52185,406.157,6.63073,197.859,0.62
68.558,224.736,-0.899693,407.658,6.82884,195.665,0.63
69.5241,228.338,0.711776,409.17,7.02765,193.482,0.64
70.4843,231.943,2.31247,410.694,7.22703,191.31,0.65
71.4386,235.548,3.90232,412.229,7.42686,189.148,0.66
72.3868,239.156,5.48123,413.775,7.62701,186.998,0.67
73.3287,242.765,7.04914,415.333,7.82736,184.858,0.68
74.2642,246.376,8.60595,416.901,8.02779,182.729,0.69
75.1932,249.988,10.1516,418.481,8.22816,180.61,0.7
76.1156,253.602,11.686,420.071,8.42837,178.502,0.71
77.0313,257.218,13.2091,421.673,8.62829,176.404,0.72
77.94,260.836,14.7207,423.285,8.8278,174.317,0.73
78.8417,264.455,16.221,424.908,9.02678,172.239,0.74
79.7363,268.076,17.7096,426.541,9.22512,170.171,0.75
80.6236,271.699,19.1866,428.185,9.4227,168.114,0.76
81.5035,275.324,20.6519,429.839,9.61942,166.066,0.77
82.3759,278.951,22.1055,431.504,9.81515,164.028,0.78
83.2406,282.579,23.5472,433.179,10.0098,161.999,0.79
84.0975,286.209,24.977,434.864,10.2033,159.98,0.8
84.9465,289.841,26.3948,436.559,10.3954,157.97,0.81
85.7875,293.475,27.8005,438.265,10.5862,155.969,0.82
86.6203,297.111,29.1941,439.98,10.7754,153.978,0.83
87.4448,300.749,30.5755,441.705,10.9631,151.996,0.84
88.261,304.388,31.9446,443.44,11.1491,150.023,0.85
89.0685,308.03,33.3013,445.184,11.3333,148.058,0.86
89.8675,311.673,34.6457,446.938,11.5157,146.103,0.87
90.6577,315.319,35.9776,448.702,11.6962,144.156,0.88
91.439,318.966,37.2969,450.475,11.8746,142.218,0.89
92.2113,322.615,38.6036,452.257,12.051,140.289,0.9
92.9745,326.266,39.8977,454.049,12.2251,138.367,0.91
93.7284,329.919,41.179,455.849,12.3971,136.455,0.92
94.4731,333.574,42.4474,457.659,12.5668,134.55,0.93
95.2082,337.231,43.7031,459.478,12.7342,132.654,0.94
95.9338,340.89,44.9457,461.305,12.8991,130.766,0.95
96.6498,344.55,46.1754,463.142,13.0616,128.886,0.96
97.3559,348.213,47.3921,464.987,13.2216,127.014,0.97
98.0522,351.877,48.5956,466.84,13.3791,125.15,0.98
98.7385,355.544,49.7859,468.702,13.534,123.293,0.99
99.4147,359.212,50.963,470.573,13.6863,121.445,1
100.081,362.882,52.1267,472.451,13.836,119.604,1.01
100.736,366.554,53.2772,474.338,13.983,117.771,1.02
101.382,370.228,54.4142,476.234,14.1273,115.945,1.03
102.017,373.903,55.5377,478.137,14.2689,114.127,1.04
102.641,377.581,56.6477,480.048,14.4078,112.316,1.05
103.255,381.26,57.7441,481.966,14.544,110.513,1.06
103.857,384.941,58.8269,483.893,14.6775,108.717,1.07
104.449,388.623,59.896,485.827,14.8082,106.928,1.08
105.03,392.308,60.9513,487.769,14.9363,105.147,1.09
